ts,write_conflicts,insert,update,query,command,wt_write_avail,wt_read_avail,active_writers,active_readers,lag_redis,lag_mongo,lag_push,lag_offlinePush,cpu_mongo,cpu_kafka,cpu_redis,cpu_server,cpu_chat,disk_free_gb
22:40:19,0,0,0,0,0,72,72,0,0,0,0,0,646,331.18,2.53,2.77,23.42,14.24,26.5
22:40:28,0,4,33,463,319,53,42,19,30,0,0,0,592,324.23,2.72,0.50,27.98,17.28,26.4
22:40:42,0,80,3360,285,3425,11,53,42,1,0,0,0,553,0.65,2.44,0.33,36.33,0.12,26.4
22:40:55,0,118,1852,60,1894,35,35,0,0,0,0,0,483,345.05,1.87,0.49,37.01,0.87,26.3
22:41:04,0,2,14,629,157,36,0,0,51,0,0,0,384,323.18,2.12,0.84,24.74,18.35,26.2
22:41:19,0,196,557,1198,990,1,74,74,0,0,0,0,332,328.74,2.52,0.30,24.52,16.85,26.1
22:41:34,0,18,3427,8,3480,7,78,71,0,0,0,0,282,330.58,1.66,0.29,27.54,16.78,26.1
22:41:47,0,18,3591,9,3621,8,78,70,0,0,0,0,265,334.22,2.40,0.26,24.61,14.14,26.0
22:42:01,0,20,3458,17,3502,62,81,23,4,0,0,0,240,0.54,3.69,0.27,27.73,0.07,25.9
22:42:10,0,0,74,15,248,83,83,0,0,0,0,0,208,0.48,2.71,0.30,34.51,0.07,25.9
22:42:20,0,0,0,0,38,83,83,0,0,0,0,0,174,0.48,2.54,0.38,31.41,0.10,25.8
22:42:29,0,0,0,0,40,83,83,0,0,0,0,0,143,0.63,2.81,0.30,21.31,0.06,25.8
22:42:38,0,0,0,0,40,83,83,0,0,0,0,0,109,0.49,4.96,0.32,23.52,0.07,25.7
22:42:48,0,0,0,0,40,83,83,0,0,0,0,0,88,0.50,2.39,0.33,27.29,0.14,25.7
22:42:57,0,0,0,0,40,83,83,0,0,0,0,0,65,0.52,2.36,0.21,8.76,0.11,25.7
22:43:06,0,0,11,21,44,82,82,0,0,0,0,0,46,0.62,2.60,0.27,10.48,0.15,25.7
22:43:15,0,0,0,0,39,82,82,0,0,0,0,0,27,0.95,2.57,0.29,10.46,0.15,25.7
22:43:24,0,0,0,0,37,82,82,0,0,0,0,0,17,2.54,2.63,0.28,11.59,0.08,25.7
22:43:33,0,0,0,0,36,82,82,0,0,0,0,0,6,0.92,2.34,0.16,8.74,0.22,25.7
22:43:42,0,0,0,0,29,82,82,0,0,0,0,0,0,0.71,2.58,0.16,6.23,0.07,25.6
22:43:51,0,0,0,0,29,82,82,0,0,0,0,0,0,60.79,2.37,0.29,5.68,1.97,25.6
22:44:00,0,0,11,21,38,82,82,0,0,0,0,0,0,0.51,2.52,0.17,5.60,0.07,25.6
22:44:09,0,0,0,0,39,82,82,0,0,0,0,0,0,0.49,2.31,0.17,5.72,0.08,25.6
22:44:18,0,0,262,1,42,82,82,0,0,0,0,0,0,0.51,2.15,0.17,5.48,0.10,25.6
22:44:27,0,0,0,0,40,82,82,0,0,0,0,0,0,0.53,2.30,0.24,5.75,0.07,25.6
22:44:36,0,0,0,0,39,82,82,0,0,0,0,0,0,0.63,2.33,0.26,6.79,0.11,25.6
22:44:45,0,0,0,0,39,82,82,0,0,0,0,0,0,1.49,2.37,0.23,6.24,0.15,25.6
22:44:54,0,0,0,0,37,82,82,0,0,0,0,0,0,1.43,2.44,0.26,6.96,0.08,25.6
22:45:03,0,0,11,21,37,82,82,0,0,0,0,0,0,0.91,2.20,0.25,6.35,0.22,25.6
22:45:11,0,0,0,0,29,82,82,0,0,0,0,0,0,0.60,2.35,0.23,6.49,0.06,25.6
22:45:21,0,0,0,0,29,82,82,0,0,0,0,0,0,0.47,2.12,0.26,6.62,0.07,25.6
22:45:30,0,0,0,0,36,82,82,0,0,0,0,0,0,0.51,2.34,0.29,6.64,0.08,25.6
22:45:39,0,0,0,0,40,82,82,0,0,0,0,0,0,0.52,2.26,0.29,16.68,0.08,25.6
22:45:48,0,0,0,0,40,82,82,0,0,0,0,0,0,0.57,2.26,0.24,6.14,0.13,25.6
